n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
981, 357166.377067, 358815, 54991.977277, 285695.499611, 16478.900178, 3360, 348360, 7095, 10, 7611720, 7095, 7622175, 24456, 8304, 4
4847, 5378658.248148, 4486245, 1631878.593668, 3535826.710134, 210952.944346, 20984, 4389160, 76101, 10, 195883640, 76101, 195980725, 285016, 123120, 4
5167, 6527659.902536, 5313381, 2148872.228191, 4143015.678406, 235771.995940, 24544, 5199700, 89137, 10, 229010780, 89137, 229124461, 335880, 147272, 4
1879, 946207.829826, 895207, 164592.924880, 732316.835669, 49298.069277, 5330, 873120, 16757, 10, 36359920, 16757, 36382007, 59512, 22240, 4
5879, 8700327.313379, 7093246, 3016835.433655, 5398395.196934, 285096.682790, 32481, 6943540, 117225, 10, 318861020, 117225, 319010726, 445384, 199176, 4
6452, 10495236.097072, 9121073, 3503461.943277, 6657886.294940, 333887.858855, 41461, 8930800, 148812, 10, 436846000, 148812, 437036273, 569440, 258912, 4
2442, 1420693.055422, 1274134, 282156.134812, 1060216.129495, 78320.791115, 7000, 1243680, 23454, 10, 48652000, 23454, 48682454, 84048, 32256, 4
7272, 13459013.669758, 11793504, 4701659.281955, 8353787.203509, 403567.184294, 53616, 11549340, 190548, 10, 652198020, 190548, 652442184, 733104, 337464, 4
7766, 16648880.831514, 13894792, 6587719.206851, 9618714.394382, 442447.230281, 62886, 13608800, 223106, 10, 793536480, 223106, 793822472, 861360, 399616, 4
8522, 19337828.025381, 16198339, 7788490.507788, 11064088.760124, 485248.757468, 73149, 15866020, 259170, 10, 1132441820, 259170, 1132774139, 1002592, 467208, 4
9278, 21724774.379609, 19247008, 8280632.276490, 12890758.214488, 553383.888631, 86958, 18853580, 306470, 10, 1405442260, 306470, 1405835688, 1188768, 557272, 4
3128, 2526946.541525, 2190863, 625427.706191, 1775560.244283, 125958.591051, 10903, 2141480, 38480, 10, 78962520, 38480, 79011903, 141408, 58192, 4
4142, 4063516.911953, 3405064, 1144319.410526, 2743877.222533, 175320.278894, 16302, 3330200, 58562, 10, 147833160, 58562, 147908024, 217680, 92272, 4
10334, 27529534.057480, 23002091, 11720062.030445, 15185008.691373, 624463.335662, 103537, 22533600, 364954, 10, 1863523360, 364954, 1863991851, 1418480, 667904, 4
169867, 5203516264.688889, 3858482966, 1955679299.888889, 3217212630.400000, 30624334.400000, 17612397, 3782379580, 58490989, 10, 5887738703780, 58490989, 5887814807166, 233284488, 115962776, 4
187172, 6039574935.623932, 4395655085, 2289576466.777778, 3715779787.307693, 34218681.538462, 20060809, 4308971260, 66623016, 10, 7623877874340, 66623016, 7623964558165, 265743376, 132123000, 4
204131, 6929693043.527778, 4943819562, 2613236840.111111, 4278070815.666667, 38385387.750000, 22568225, 4846331240, 74920097, 10, 9600513986440, 74920097, 9600611474762, 298863864, 148615408, 4
221003, 8010300593.733334, 5493628325, 3142070311.333333, 4825729026.700000, 42501255.700000, 25073188, 5385313160, 83241977, 10, 11805626284760, 83241977, 11805734599925, 332083896, 165157936, 4
45729, 620654912.881915, 536651105, 261016358.350000, 354348978.517730, 5289576.014184, 2442374, 526034980, 8173751, 10, 145103891980, 8173751, 145114508105, 32512088, 16073128, 4
71223, 1288706988.592308, 1098103147, 513081300.500000, 765898538.446154, 9727149.646154, 5006374, 1076410600, 16686173, 10, 530488508280, 16686173, 530510200827, 66459800, 32945008, 4
92295, 2027109213.166667, 1651975400, 817057068.333333, 1196199801.714286, 13852343.119048, 7530491, 1619368260, 25076649, 10, 1142974063100, 25076649, 1143006670240, 99937416, 49599528, 4
111227, 2755994249.555555, 2202860461, 1087927772.555556, 1650113149.366667, 17953327.633333, 10051092, 2159391180, 33418189, 10, 1983622274260, 33418189, 1983665743541, 133227848, 66169016, 4
135339, 3538738285.212560, 2763444458, 1367466224.777778, 2148912536.652174, 22359523.782609, 12608081, 2708921220, 41915157, 10, 3076498437660, 41915157, 3076552960898, 167119272, 83018280, 4
152638, 4368741003.795321, 3309538662, 1670809266.111111, 2671656149.631579, 26275588.052632, 15104716, 3244252320, 50181626, 10, 4360387411360, 50181626, 4360452697702, 200115952, 99447424, 4
221588, 8041636063.677778, 5513114465, 3159534386.777778, 4839806074.300000, 42295602.600000, 25163269, 5404414320, 83536876, 10, 11888072091920, 83536876, 11888180792065, 333261152, 165744224, 4
