n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, databytes
169867, 7568872554.333333, 3858482966, 2856748471.333333, 4680427124.333333, 31696958.666667, 17612397, 3782379580, 58490989, 10, 5887738703780, 58490989, 5887814807166, 349926732
187172, 8943762444.666666, 4395655085, 3384466003.000000, 5524006167.666666, 35290274.000000, 20060809, 4308971260, 66623016, 10, 7623877874340, 66623016, 7623964558165, 398615064
204131, 10196506300.000000, 4943819562, 3778276391.500000, 6378133101.000000, 40096807.500000, 22568225, 4846331240, 74920097, 10, 9600513986440, 74920097, 9600611474762, 448295796
221003, 11639715207.000000, 5493628325, 4302641865.500000, 7292948590.000000, 44124751.500000, 25073188, 5385313160, 83241977, 10, 11805626284760, 83241977, 11805734599925, 498125844
45729, 733566974.964286, 536651105, 336359029.285714, 391870619.892857, 5337325.785714, 2442374, 526034980, 8173751, 10, 145103891980, 8173751, 145114508105, 48768132
71223, 1664825660.846154, 1098103147, 668916710.461539, 985973872.230769, 9935078.153846, 5006374, 1076410600, 16686173, 10, 530488508280, 16686173, 530510200827, 99689700
92295, 2808316956.000000, 1651975400, 1141947711.625000, 1650638553.625000, 15730690.750000, 7530491, 1619368260, 25076649, 10, 1142974063100, 25076649, 1143006670240, 149906124
111227, 3984078132.666667, 2202860461, 1563464511.833333, 2401031155.500000, 19582465.333333, 10051092, 2159391180, 33418189, 10, 1983622274260, 33418189, 1983665743541, 199841772
135339, 5161749177.000000, 2763444458, 2004417159.250000, 3134124155.750000, 23207862.000000, 12608081, 2708921220, 41915157, 10, 3076498437660, 41915157, 3076552960898, 250678908
152638, 6361702075.000000, 3309538662, 2438584202.000000, 3895729367.500000, 27388505.500000, 15104716, 3244252320, 50181626, 10, 4360387411360, 50181626, 4360452697702, 300173928
221588, 11796288304.500000, 5513114465, 4376606359.500000, 7375348285.000000, 44333660.000000, 25163269, 5404414320, 83536876, 10, 11888072091920, 83536876, 11888180792065, 499891728
981, 371329.619223, 358815, 70003.259568, 281429.624688, 19896.734967, 3360, 348360, 7095, 10, 7611720, 7095, 7622175, 36684
4847, 5292826.053766, 4486245, 1451963.480091, 3621580.550089, 219282.023586, 20984, 4389160, 76101, 10, 195883640, 76101, 195980725, 427524
5167, 6175263.978654, 5313381, 1748972.507560, 4182150.910762, 244140.560332, 24544, 5199700, 89137, 10, 229010780, 89137, 229124461, 503820
1879, 961428.683721, 895207, 196501.388321, 707417.522643, 57509.772756, 5330, 873120, 16757, 10, 36359920, 16757, 36382007, 89268
5879, 8121059.560031, 7093246, 2420553.439578, 5402901.672272, 297604.448181, 32481, 6943540, 117225, 10, 318861020, 117225, 319010726, 668076
6452, 10297845.263419, 9121073, 3223981.962724, 6721224.148608, 352639.152087, 41461, 8930800, 148812, 10, 436846000, 148812, 437036273, 854160
2442, 1465460.267517, 1274134, 327567.787655, 1051815.657310, 86076.822552, 7000, 1243680, 23454, 10, 48652000, 23454, 48682454, 126072
7272, 13155353.405474, 11793504, 4375699.039465, 8362975.893062, 416678.472947, 53616, 11549340, 190548, 10, 652198020, 190548, 652442184, 1099656
7766, 15382257.475019, 13894792, 5231377.815063, 9690528.129008, 460351.530947, 62886, 13608800, 223106, 10, 793536480, 223106, 793822472, 1292040
8522, 17838223.508225, 16198339, 6248162.526407, 11080545.154978, 509515.826840, 73149, 15866020, 259170, 10, 1132441820, 259170, 1132774139, 1503888
9278, 21805757.057325, 19247008, 8364802.798301, 12867974.608280, 572979.650743, 86958, 18853580, 306470, 10, 1405442260, 306470, 1405835688, 1783152
3128, 2570865.386286, 2190863, 611572.327599, 1828847.011957, 130446.046730, 10903, 2141480, 38480, 10, 78962520, 38480, 79011903, 212112
4142, 4242182.932021, 3405064, 1188772.797281, 2870446.918831, 182963.215909, 16302, 3330200, 58562, 10, 147833160, 58562, 147908024, 326520
10334, 25198168.343558, 23002091, 9285396.521472, 15278076.384049, 634695.438037, 103537, 22533600, 364954, 10, 1863523360, 364954, 1863991851, 2127720
