n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 63080909.900000, 1828024, 3346653.300000, 59734256.600000, 0.000000, 3594, 1824430, 0, 10
4847, 1313193692.300000, 46659268, 37826427.500000, 1275367264.800000, 0.000000, 21218, 46638050, 0, 10
5167, 1393754131.000000, 54016788, 39254347.300000, 1354499783.700000, 0.000000, 24778, 53992010, 0, 10
1879, 191044665.000000, 7087414, 7265157.200000, 183779507.800000, 0.000000, 5564, 7081850, 0, 10
5879, 1936798032.600000, 76160005, 52815785.100000, 1883982247.500000, 0.000000, 32715, 76127290, 0, 10
6452, 2593513219.800000, 102594055, 67838352.700000, 2525674867.100000, 0.000000, 41695, 102552360, 0, 10
2442, 295476257.200000, 10454654, 10572816.200000, 284903441.000000, 0.000000, 7234, 10447420, 0, 10
7272, 4091757966.900000, 153599690, 90913718.800000, 4000844248.100000, 0.000000, 53850, 153545840, 0, 10
7766, 4744517433.599999, 186075660, 112044192.400000, 4632473241.200000, 0.000000, 63120, 186012540, 0, 10
3128, 663767417.200000, 18696177, 22782143.000000, 640985274.200000, 0.000000, 11137, 18685040, 0, 10
4142, 907767073.500000, 35281156, 27897209.900000, 879869863.600000, 0.000000, 16536, 35264620, 0, 10
