n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 62160752.200000, 1828024, 3148849.600000, 59011902.600000, 0.000000, 3594, 1824430, 0, 10
4847, 1121579991.500000, 46659268, 34988055.700000, 1086591935.800000, 0.000000, 21218, 46638050, 0, 10
5167, 1319080385.800000, 54016788, 40488704.100000, 1278591681.700000, 0.000000, 24778, 53992010, 0, 10
1879, 184915397.500000, 7087414, 7374679.100000, 177540718.400000, 0.000000, 5564, 7081850, 0, 10
5879, 1834783115.500000, 76160005, 51861088.600000, 1782922026.900000, 0.000000, 32715, 76127290, 0, 10
6452, 2767130234.000000, 102594055, 82278127.800000, 2684852106.200000, 0.000000, 41695, 102552360, 0, 10
2442, 273608208.700000, 10454654, 10419667.000000, 263188541.700000, 0.000000, 7234, 10447420, 0, 10
7272, 3625493408.400001, 153599690, 87426430.800000, 3538066977.600000, 0.000000, 53850, 153545840, 0, 10
7766, 4553855782.600000, 186075660, 103850977.300000, 4450004805.300000, 0.000000, 63120, 186012540, 0, 10
3128, 481097013.200000, 18696177, 16916241.200000, 464180772.000000, 0.000000, 11137, 18685040, 0, 10
4142, 836180698.900000, 35281156, 26298971.000000, 809881727.900000, 0.000000, 16536, 35264620, 0, 10
