n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 62615394.600000, 1828024, 3127250.900000, 59488143.700000, 0.000000, 3594, 1824430, 0, 10
4847, 1141094499.400000, 46659268, 34760208.100000, 1106334291.300000, 0.000000, 21218, 46638050, 0, 10
5167, 1345789218.200000, 54016788, 39697939.300000, 1306091278.900000, 0.000000, 24778, 53992010, 0, 10
1879, 186823244.500000, 7087414, 7212937.100000, 179610307.400000, 0.000000, 5564, 7081850, 0, 10
5879, 1862756440.700000, 76160005, 51464233.700000, 1811292207.000000, 0.000000, 32715, 76127290, 0, 10
6452, 2532528653.100000, 102594055, 66252894.600000, 2466275758.500000, 0.000000, 41695, 102552360, 0, 10
2442, 294823705.900000, 10454654, 10662766.700000, 284160939.200000, 0.000000, 7234, 10447420, 0, 10
7272, 3978310877.000000, 153599690, 100392760.300000, 3877918116.700000, 0.000000, 53850, 153545840, 0, 10
7766, 4450394780.900001, 186075660, 101812056.000000, 4348582724.900001, 0.000000, 63120, 186012540, 0, 10
3128, 493932524.300000, 18696177, 17579569.400000, 476352954.900000, 0.000000, 11137, 18685040, 0, 10
4142, 854423983.700000, 35281156, 26542018.600000, 827881965.100000, 0.000000, 16536, 35264620, 0, 10
