n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 60662095.900000, 1828024, 3066748.200000, 57595347.700000, 0.000000, 3594, 1824430, 0, 10
4847, 1147403939.200000, 46659268, 34719737.600000, 1112684201.600000, 0.000000, 21218, 46638050, 0, 10
5167, 1320732272.300000, 54016788, 38551898.000000, 1282180374.300000, 0.000000, 24778, 53992010, 0, 10
1879, 186823523.900000, 7087414, 7262585.600000, 179560938.300000, 0.000000, 5564, 7081850, 0, 10
5879, 1831855577.800000, 76160005, 50613624.300000, 1781241953.500000, 0.000000, 32715, 76127290, 0, 10
6452, 2406151659.700000, 102594055, 64441230.800000, 2341710428.900000, 0.000000, 41695, 102552360, 0, 10
2442, 265565140.600000, 10454654, 9749313.300000, 255815827.300000, 0.000000, 7234, 10447420, 0, 10
7272, 3597638848.000000, 153599690, 85720350.100000, 3511918497.900000, 0.000000, 53850, 153545840, 0, 10
7766, 4257185897.700000, 186075660, 99808438.600000, 4157377459.100000, 0.000000, 63120, 186012540, 0, 10
3128, 476536134.100000, 18696177, 16794355.100000, 459741779.000000, 0.000000, 11137, 18685040, 0, 10
4142, 838548943.500000, 35281156, 25909408.400000, 812639535.100000, 0.000000, 16536, 35264620, 0, 10
